N_count,S_count,E_count,W_count,N_queue,S_queue,E_queue,W_queue,N_arrival,S_arrival,E_arrival,W_arrival,N_speed,S_speed,E_speed,W_speed,N_queue_growth,S_queue_growth,E_queue_growth,W_queue_growth,current_phase,elapsed_phase_time,scenario_id,cycle_idx,archetype,true_N_rate,true_S_rate,true_E_rate,true_W_rate,target_plan,best_delay
30.0,30.0,2.0,0.0,14.0,13.0,1.0,0.0,40.0,38.0,12.0,6.0,1.99,1.74,9.14,13.89,-2.0,-8.0,1.0,0.0,0.0,0.0,1,1,heavy_ns,35.1,31.4,6.0,5.6,P7,43.56
37.0,45.0,2.0,1.0,24.0,31.0,0.0,0.0,26.0,30.0,10.0,6.0,3.46,2.99,13.13,12.94,-4.0,-7.0,0.0,0.0,0.0,0.0,1,2,heavy_ns,35.1,31.4,6.0,5.6,P7,64.73
60.0,54.0,3.0,3.0,47.0,41.0,1.0,0.0,48.0,20.0,14.0,8.0,3.23,3.27,11.7,13.21,2.0,-4.0,1.0,0.0,0.0,0.0,1,3,heavy_ns,35.1,31.4,6.0,5.6,P7,74.45
12.0,27.0,1.0,6.0,0.0,10.0,0.0,3.0,16.0,36.0,6.0,18.0,1.52,1.92,13.65,11.65,-8.0,-6.0,0.0,3.0,0.0,0.0,2,1,balanced,20.6,18.2,19.2,18.0,P5,24.88
14.0,32.0,3.0,6.0,2.0,16.0,0.0,1.0,26.0,34.0,12.0,20.0,3.6,2.02,13.36,10.93,-4.0,-6.0,0.0,-2.0,0.0,0.0,2,2,balanced,20.6,18.2,19.2,18.0,P6,30.68
23.0,27.0,8.0,11.0,8.0,13.0,2.0,5.0,24.0,24.0,22.0,18.0,2.6,2.7,10.41,11.14,-6.0,-4.0,1.0,-4.0,0.0,0.0,2,3,balanced,20.6,18.2,19.2,18.0,P5,29.22
13.0,8.0,37.0,24.0,0.0,0.0,31.0,19.0,14.0,12.0,54.0,42.0,1.0,2.32,9.69,10.75,-10.0,-4.0,4.0,2.0,0.0,0.0,4,1,heavy_ew,7.2,5.9,39.9,32.1,P1,54.5
3.0,4.0,58.0,37.0,0.0,0.0,54.0,32.0,0.0,4.0,34.0,38.0,0.25,2.85,10.45,10.53,-3.0,-2.0,8.0,6.0,0.0,0.0,4,2,heavy_ew,7.2,5.9,39.9,32.1,P1,74.83
7.0,6.0,78.0,50.0,0.0,0.0,73.0,44.0,10.0,6.0,32.0,30.0,4.25,1.99,10.3,11.01,-3.0,-5.0,3.0,1.0,0.0,0.0,4,3,heavy_ew,7.2,5.9,39.9,32.1,P1,90.89
6.0,8.0,13.0,5.0,0.0,0.0,8.0,0.0,8.0,4.0,30.0,18.0,0.65,0.25,11.26,12.39,-5.0,-8.0,6.0,-1.0,0.0,0.0,7,1,moderate_ew,10.3,9.2,28.2,19.9,P1,30.92
14.0,15.0,31.0,5.0,0.0,0.0,25.0,1.0,12.0,16.0,30.0,14.0,1.08,1.81,10.03,11.27,-10.0,-10.0,2.0,1.0,0.0,0.0,7,2,moderate_ew,10.3,9.2,28.2,19.9,P1,43.89
7.0,9.0,53.0,4.0,0.0,0.0,47.0,0.0,2.0,10.0,34.0,10.0,0.73,2.68,10.78,13.45,-6.0,-5.0,0.0,0.0,0.0,0.0,7,3,moderate_ew,10.3,9.2,28.2,19.9,P1,59.95
15.0,14.0,4.0,9.0,0.0,0.0,0.0,0.0,16.0,16.0,12.0,22.0,1.73,1.68,12.43,13.02,-9.0,-8.0,0.0,0.0,0.0,0.0,9,1,slight_ew,15.3,15.8,19.3,18.4,P4,15.04
8.0,11.0,4.0,4.0,0.0,0.0,1.0,1.0,14.0,12.0,12.0,14.0,4.04,1.23,11.7,12.9,-1.0,-6.0,1.0,1.0,0.0,0.0,9,2,slight_ew,15.3,15.8,19.3,18.4,P4,16.87
7.0,21.0,7.0,3.0,0.0,3.0,2.0,0.0,6.0,30.0,24.0,14.0,0.25,1.67,11.17,11.88,-6.0,-11.0,2.0,0.0,0.0,0.0,9,3,slight_ew,15.3,15.8,19.3,18.4,P5,19.29
26.0,21.0,4.0,2.0,8.0,4.0,1.0,0.0,32.0,22.0,14.0,10.0,1.49,1.92,11.98,12.43,-9.0,-10.0,1.0,0.0,0.0,0.0,11,1,moderate_ns,29.4,21.6,10.9,10.0,P7,32.42
30.0,25.0,5.0,3.0,16.0,12.0,0.0,0.0,24.0,22.0,12.0,10.0,3.1,3.22,11.72,13.11,-6.0,-7.0,0.0,0.0,0.0,0.0,11,2,moderate_ns,29.4,21.6,10.9,10.0,P7,43.18
40.0,30.0,4.0,3.0,28.0,18.0,0.0,0.0,30.0,30.0,12.0,8.0,3.81,3.68,11.37,11.65,-2.0,1.0,0.0,0.0,0.0,0.0,11,3,moderate_ns,29.4,21.6,10.9,10.0,P7,50.19
9.0,8.0,8.0,7.0,0.0,0.0,4.0,2.0,12.0,8.0,24.0,22.0,0.77,2.69,9.55,11.85,-5.0,-4.0,3.0,2.0,0.0,0.0,12,1,slight_ew,15.8,15.7,19.4,20.8,P3,19.73
16.0,16.0,7.0,14.0,0.0,0.0,1.0,8.0,20.0,20.0,22.0,16.0,1.79,1.78,10.55,11.23,-9.0,-10.0,0.0,-4.0,0.0,0.0,12,2,slight_ew,15.8,15.7,19.4,20.8,P1,22.43
20.0,15.0,6.0,15.0,0.0,1.0,0.0,9.0,22.0,14.0,16.0,24.0,1.02,0.53,11.0,10.9,-15.0,-11.0,-1.0,1.0,0.0,0.0,12,3,slight_ew,15.8,15.7,19.4,20.8,P1,20.56
6.0,8.0,11.0,9.0,0.0,0.0,7.0,0.0,4.0,10.0,26.0,24.0,0.25,3.69,10.36,12.73,-6.0,-4.0,0.0,0.0,0.0,0.0,13,1,moderate_ew,12.6,9.8,27.7,25.9,P1,25.15
15.0,13.0,21.0,12.0,0.0,0.0,15.0,7.0,18.0,18.0,28.0,24.0,1.92,2.04,11.27,10.45,-10.0,-7.0,-1.0,5.0,0.0,0.0,13,2,moderate_ew,12.6,9.8,27.7,25.9,P1,33.29
16.0,9.0,27.0,19.0,0.0,0.0,22.0,13.0,16.0,8.0,32.0,30.0,1.56,0.99,10.54,11.11,-10.0,-5.0,3.0,-1.0,0.0,0.0,13,3,moderate_ew,12.6,9.8,27.7,25.9,P1,43.67
27.0,29.0,3.0,3.0,9.0,12.0,0.0,0.0,30.0,32.0,14.0,12.0,1.64,1.72,10.6,13.48,-11.0,-7.0,0.0,0.0,0.0,0.0,14,1,heavy_ns,40.9,26.2,6.3,8.1,P7,41.71
45.0,42.0,3.0,1.0,32.0,29.0,0.0,0.0,48.0,32.0,10.0,8.0,3.23,3.46,11.91,13.98,1.0,2.0,0.0,0.0,0.0,0.0,14,2,heavy_ns,40.9,26.2,6.3,8.1,P7,63.42
65.0,52.0,3.0,1.0,52.0,40.0,0.0,0.0,58.0,26.0,16.0,6.0,3.15,3.77,11.12,13.89,2.0,-5.0,0.0,0.0,0.0,0.0,14,3,heavy_ns,40.9,26.2,6.3,8.1,P7,79.67
8.0,9.0,16.0,16.0,0.0,0.0,12.0,10.0,8.0,4.0,26.0,36.0,2.94,0.85,10.6,10.86,-5.0,-7.0,3.0,4.0,0.0,0.0,16,1,moderate_ew,13.4,10.6,29.6,21.8,P2,32.23
15.0,9.0,19.0,21.0,0.0,0.0,13.0,16.0,8.0,8.0,24.0,28.0,1.3,0.47,11.09,10.57,-12.0,-8.0,-1.0,2.0,0.0,0.0,16,2,moderate_ew,13.4,10.6,29.6,21.8,P2,40.98
21.0,15.0,40.0,25.0,0.0,0.0,34.0,19.0,16.0,14.0,32.0,24.0,0.47,0.53,10.74,11.23,-17.0,-11.0,3.0,0.0,0.0,0.0,16,3,moderate_ew,13.4,10.6,29.6,21.8,P1,51.29
30.0,20.0,0.0,3.0,11.0,3.0,0.0,0.0,18.0,16.0,2.0,8.0,1.41,1.73,14.13,12.77,-13.0,-12.0,0.0,0.0,0.0,0.0,17,1,heavy_ns,38.6,26.6,6.0,7.2,P7,39.15
60.0,15.0,1.0,0.0,47.0,2.0,0.0,0.0,62.0,18.0,8.0,8.0,3.28,3.47,13.29,14.06,5.0,-6.0,0.0,0.0,0.0,0.0,17,2,heavy_ns,38.6,26.6,6.0,7.2,P7,55.87
77.0,28.0,1.0,4.0,64.0,15.0,0.0,0.0,34.0,36.0,2.0,8.0,3.19,3.28,13.47,13.55,0.0,-4.0,0.0,0.0,0.0,0.0,17,3,heavy_ns,38.6,26.6,6.0,7.2,P7,75.64
17.0,10.0,5.0,2.0,1.0,0.0,1.0,0.0,20.0,10.0,22.0,16.0,2.08,2.54,11.83,12.01,-9.0,-5.0,1.0,0.0,0.0,0.0,18,1,slight_ew,16.0,14.7,22.5,19.2,P5,17.35
5.0,7.0,13.0,1.0,0.0,0.0,8.0,0.0,8.0,6.0,30.0,12.0,2.6,1.12,11.23,13.75,-3.0,-5.0,3.0,0.0,0.0,0.0,18,2,slight_ew,16.0,14.7,22.5,19.2,P2,15.8
16.0,22.0,4.0,5.0,0.0,2.0,0.0,0.0,20.0,24.0,16.0,18.0,1.73,1.21,12.38,12.29,-10.0,-15.0,-1.0,0.0,0.0,0.0,18,3,slight_ew,16.0,14.7,22.5,19.2,P3,20.34
21.0,20.0,5.0,6.0,4.0,3.0,0.0,1.0,28.0,28.0,18.0,16.0,1.77,1.79,13.27,11.37,-8.0,-9.0,0.0,1.0,0.0,0.0,19,1,slight_ns,22.1,17.5,13.2,13.4,P6,18.75
16.0,10.0,2.0,2.0,2.0,0.0,1.0,0.0,24.0,14.0,10.0,4.0,2.9,3.37,10.27,12.66,-7.0,-5.0,1.0,0.0,0.0,0.0,19,2,slight_ns,22.1,17.5,13.2,13.4,P7,22.86
30.0,11.0,7.0,2.0,17.0,0.0,3.0,1.0,36.0,18.0,24.0,12.0,3.32,4.66,10.29,11.63,-4.0,-4.0,-1.0,1.0,0.0,0.0,19,3,slight_ns,22.1,17.5,13.2,13.4,P7,27.36
34.0,23.0,1.0,2.0,16.0,5.0,0.0,0.0,44.0,22.0,10.0,6.0,1.48,1.55,14.02,14.4,-3.0,-9.0,0.0,0.0,0.0,0.0,20,1,heavy_ns,35.6,30.8,7.4,6.5,P7,39.49
51.0,21.0,2.0,2.0,38.0,8.0,0.0,1.0,42.0,24.0,6.0,10.0,3.44,3.05,12.09,10.85,-3.0,-4.0,0.0,1.0,0.0,0.0,20,2,heavy_ns,35.6,30.8,7.4,6.5,P7,59.47
